zona,municipio_cod,x_centroide,y_centroide,municipio
352,13.0,324908.1214470284,7420115.124031007,Franco da Rocha
356,12.0,321183.15,7423778.847222222,Francisco Morato
357,12.0,323041.1034482759,7424731.863793103,Francisco Morato
358,12.0,323665.77777777775,7425935.525252526,Francisco Morato
359,21.0,338213.13451327436,7419818.6530973455,Mairiporã
360,21.0,332820.65853658534,7412999.475609756,Mairiporã
361,21.0,336415.4791666667,7425632.263888889,Mairiporã
362,21.0,339674.69035532995,7423385.6243654825,Mairiporã
363,15.0,343431.28044280445,7404016.481549815,Guarulhos
364,15.0,344611.6738410596,7404577.971854305,Guarulhos
365,15.0,349624.75633528264,7404498.898635478,Guarulhos
366,15.0,345492.4984126984,7404041.765079365,Guarulhos
367,15.0,341876.0655737705,7401143.878220141,Guarulhos
368,15.0,342490.4986376022,7402959.550408719,Guarulhos
369,15.0,341062.13496932515,7403657.18404908,Guarulhos
370,15.0,340872.74626865675,7405823.980099503,Guarulhos
371,15.0,342501.03878116346,7405636.011080332,Guarulhos
372,15.0,344289.1151079137,7406893.73381295,Guarulhos
373,15.0,346450.7818181818,7405791.090909091,Guarulhos
374,15.0,346445.9791666667,7408170.447916667,Guarulhos
375,15.0,348679.3787878788,7408525.585858586,Guarulhos
376,15.0,352309.71784232365,7407910.477178424,Guarulhos
377,15.0,356524.90868596884,7409875.839643653,Guarulhos
378,15.0,356513.4859154929,7405931.112676056,Guarulhos
379,15.0,352482.65192307695,7404969.188461538,Guarulhos
380,15.0,341449.73484848486,7407969.371212121,Guarulhos
381,15.0,346065.5661971831,7409888.25915493,Guarulhos
383,15.0,350941.7660167131,7411180.3537604455,Guarulhos
384,15.0,354078.49689440994,7411254.875776397,Guarulhos
385,15.0,357245.15853658534,7411778.951219512,Guarulhos
387,1.0,360720.08974358975,7411146.692307692,Arujá
388,1.0,364162.26923076925,7411855.658862877,Arujá
389,1.0,367970.43902439025,7410405.195121951,Arujá
390,30.0,375036.1407249467,7420774.149253732,Santa Isabel
391,30.0,372967.11475409835,7417067.950819672,Santa Isabel
394,11.0,360309.61971830984,7394908.621730383,Ferraz de Vasconcelos
396,11.0,359571.9318181818,7396948.877622378,Ferraz de Vasconcelos
397,26.0,362288.1095890411,7395083.580821917,Poá
398,26.0,362568.7492625369,7397988.132743363,Poá
399,18.0,361652.941089838,7400985.416789396,Itaquaquecetuba
400,18.0,363048.38942307694,7403720.118990385,Itaquaquecetuba
401,18.0,362713.8341384863,7406582.793880837,Itaquaquecetuba
402,18.0,367120.85564304463,7403675.2073490815,Itaquaquecetuba
403,37.0,367068.4875124875,7399766.036963037,Suzano
404,37.0,366474.29087048833,7395105.229299363,Suzano
405,37.0,365714.9684210526,7383859.147368421,Suzano
406,37.0,365081.375,7386614.939102564,Suzano
407,23.0,378325.00804289547,7397147.816353887,Mogi das Cruzes
408,23.0,377959.79326923075,7399260.947115385,Mogi das Cruzes
409,23.0,379822.5793871866,7397687.245125348,Mogi das Cruzes
410,23.0,375571.390625,7394970.59375,Mogi das Cruzes
411,23.0,372401.2238095238,7394807.419047619,Mogi das Cruzes
412,23.0,369401.65725806454,7403104.963709678,Mogi das Cruzes
413,23.0,378420.1632653061,7407715.193877551,Mogi das Cruzes
414,23.0,388708.50434782606,7402560.826086956,Mogi das Cruzes
415,23.0,383000.835694051,7399517.0764872525,Mogi das Cruzes
416,23.0,375557.8333333333,7385873.043859649,Mogi das Cruzes
418,3.0,393868.9369369369,7392485.651651652,Biritiba-Mirim
420,29.0,409673.34156378603,7396771.12345679,Salesópolis
422,14.0,389909.3908629442,7414814.705583757,Guararema
424,34.0,340321.21630094043,7386867.990595612,São Caetano do Sul
425,34.0,341305.08974358975,7385647.448717949,São Caetano do Sul
426,34.0,339612.7946257198,7384774.550863723,São Caetano do Sul
427,34.0,338996.054245283,7386464.950471698,São Caetano do Sul
428,34.0,340064.4924874791,7387986.370617696,São Caetano do Sul
429,32.0,343992.5474509804,7382886.7450980395,Santo André
430,32.0,342641.49809885933,7380974.247148289,Santo André
431,32.0,342345.70547945204,7382662.97260274,Santo André
432,32.0,341131.5787545788,7383395.948717949,Santo André
433,32.0,342331.4551724138,7384770.310344827,Santo André
434,32.0,343508.00302114803,7386424.809667674,Santo André
435,32.0,345403.3067846608,7385957.209439528,Santo André
436,32.0,347406.88416988414,7385311.961389962,Santo André
437,32.0,346100.99399399396,7383886.6486486485,Santo André
438,32.0,347015.512345679,7380958.802469136,Santo André
439,32.0,344235.50657894736,7379671.842105263,Santo André
440,32.0,347057.0594059406,7376480.727722772,Santo André
441,32.0,363188.29411764705,7371266.623529412,Santo André
442,22.0,349193.725877193,7381908.870614035,Mauá
443,22.0,351834.0,7380540.992101106,Mauá
444,22.0,352328.83397190296,7383215.245210728,Mauá
445,22.0,354426.7706766917,7381406.436090225,Mauá
446,22.0,355596.7225806452,7382739.496774194,Mauá
447,27.0,355599.897084048,7376871.516295026,Ribeirão Pires
448,27.0,358174.9956896552,7379937.818965517,Ribeirão Pires
449,27.0,361618.5043103448,7379832.956896552,Ribeirão Pires
450,28.0,358524.68595041323,7374684.078512397,Rio Grande da Serra
451,28.0,357674.5176715177,7372550.546777546,Rio Grande da Serra
452,33.0,339493.6261829653,7377712.976340694,São Bernardo do Campo
453,33.0,337501.7037815126,7382130.18487395,São Bernardo do Campo
454,33.0,340048.7682539683,7382451.123809524,São Bernardo do Campo
455,33.0,341625.4241908007,7379664.045996592,São Bernardo do Campo
456,33.0,342054.10837438423,7377376.461083744,São Bernardo do Campo
457,33.0,343817.97535211267,7375914.518779343,São Bernardo do Campo
458,33.0,340634.99660441425,7374230.033955857,São Bernardo do Campo
459,33.0,342046.46598639456,7372393.7789115645,São Bernardo do Campo
460,33.0,343873.5620915033,7368396.934640523,São Bernardo do Campo
462,33.0,337590.9510791367,7374528.25323741,São Bernardo do Campo
463,8.0,334515.31289308175,7379541.36163522,Diadema
464,8.0,335473.7576470588,7381274.183529411,Diadema
465,8.0,337604.88333333336,7379084.691666666,Diadema
