Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 375 ," 1,494 "," 28,176 "," 29,670 "
 376 ," 3,628 "," 35,066 "," 38,694 "
 377 ," 3,227 "," 21,396 "," 24,623 "
 378 ," 9,048 "," 55,982 "," 65,030 "
 379 ," 5,487 "," 39,131 "," 44,618 "
 380 , 395 ," 9,729 "," 10,125 "
 381 , 560 ," 16,733 "," 17,293 "
 382 , -   , -   , -   
 383 ," 2,328 "," 18,099 "," 20,427 "
 384 ," 2,287 "," 19,584 "," 21,871 "
 385 , 556 ," 5,087 "," 5,643 "
 386 , -   , -   , -   
 387 , 549 ," 4,490 "," 5,039 "
 388 ," 6,168 "," 36,240 "," 42,408 "
 389 , 564 ," 4,988 "," 5,553 "
 390 ," 1,421 "," 14,946 "," 16,367 "
 391 , 128 ," 3,355 "," 3,483 "
 392 , -   , 186 , 186 
 393 , -   , 310 , 310 
 394 ," 3,086 "," 24,240 "," 27,326 "
 395 , -   , 349 , 349 
 396 ," 5,290 "," 19,217 "," 24,507 "
 397 , 330 ," 2,930 "," 3,259 "
 398 ," 4,447 "," 35,386 "," 39,833 "
 399 ," 3,167 "," 31,384 "," 34,551 "
 400 ," 2,429 "," 24,351 "," 26,781 "
 401 ," 5,850 "," 28,919 "," 34,769 "
 402 ," 3,433 "," 17,086 "," 20,519 "
 403 ," 4,338 "," 27,594 "," 31,932 "
 404 ," 10,302 "," 58,587 "," 68,889 "
 405 ," 1,139 "," 8,218 "," 9,356 "
 406 , 443 ," 4,620 "," 5,062 "
 407 ," 3,808 "," 40,294 "," 44,102 "
 408 ," 2,551 "," 26,998 "," 29,548 "
 409 ," 2,297 "," 20,738 "," 23,036 "
 410 ," 2,392 "," 37,176 "," 39,568 "
 411 ," 3,149 "," 10,105 "," 13,254 "
 412 ," 1,078 "," 9,082 "," 10,160 "
 413 ," 1,090 "," 5,564 "," 6,654 "
 414 , 168 ," 5,183 "," 5,351 "
 415 ," 2,200 "," 15,055 "," 17,255 "
 416 , 218 ," 7,007 "," 7,225 "
 417 , -   , 221 , 221 
 418 , 576 ," 5,948 "," 6,524 "
 419 , -   , 86 , 86 
 420 , -   ," 4,788 "," 4,788 "
 421 , -   , -   , -   
 422 ," 1,423 "," 12,767 "," 14,190 "
 423 , -   , -   , -   
 424 ," 2,023 "," 22,327 "," 24,349 "
 425 ," 2,222 "," 18,649 "," 20,871 "
 426 , 907 ," 8,468 "," 9,376 "
 427 , 357 ," 11,777 "," 12,134 "
 428 ," 1,522 "," 42,597 "," 44,119 "
 429 ," 4,471 "," 104,831 "," 109,302 "
 430 , 265 ," 11,978 "," 12,244 "
 431 , 223 ," 7,773 "," 7,996 "
 432 , 976 ," 3,539 "," 4,515 "
 433 ," 3,338 "," 17,458 "," 20,796 "
 434 , 985 ," 23,923 "," 24,908 "
 435 , 392 ," 17,175 "," 17,567 "
 436 ," 1,606 "," 23,875 "," 25,481 "
 437 , 457 ," 18,924 "," 19,380 "
 438 ," 5,849 "," 44,105 "," 49,954 "
 439 ," 4,223 "," 34,721 "," 38,945 "
 440 ," 4,441 "," 18,671 "," 23,111 "
 441 , 118 ," 1,878 "," 1,995 "
 442 ," 4,190 "," 36,889 "," 41,079 "
 443 ," 5,359 "," 55,677 "," 61,036 "
 444 ," 3,908 "," 27,175 "," 31,083 "
 445 ," 3,258 "," 8,952 "," 12,211 "
 446 , 321 ," 3,334 "," 3,656 "
 447 ," 4,763 "," 40,605 "," 45,367 "
 448 , 948 ," 4,817 "," 5,765 "
 449 ," 1,265 "," 2,649 "," 3,914 "
 450 , 203 ," 2,557 "," 2,760 "
 451 , -   ," 12,396 "," 12,396 "
 452 ," 7,358 "," 52,926 "," 60,285 "
 453 ," 2,137 "," 33,929 "," 36,065 "
 454 , 795 ," 30,964 "," 31,759 "
 455 ," 2,534 "," 42,405 "," 44,939 "
 456 ," 2,958 "," 61,574 "," 64,532 "
 457 ," 4,550 "," 31,558 "," 36,108 "
 458 ," 5,650 "," 40,705 "," 46,355 "
 459 ," 1,718 "," 10,488 "," 12,206 "
 460 , 901 ," 3,372 "," 4,273 "
 461 , 287 , 91 , 378 
 462 ," 6,075 "," 31,347 "," 37,422 "
 463 ," 7,007 "," 51,558 "," 58,565 "
 464 ," 3,237 "," 34,520 "," 37,758 "
 465 ," 3,793 "," 27,678 "," 31,471 "
 466 , -   ," 20,921 "," 20,921 "
 467 ," 2,485 "," 18,661 "," 21,145 "
 468 , 791 ," 32,358 "," 33,149 "
 469 ," 2,961 "," 11,550 "," 14,512 "
 470 ," 2,634 "," 30,577 "," 33,211 "
 471 ," 2,727 "," 14,779 "," 17,506 "
 472 ," 3,524 "," 5,916 "," 9,440 "
 473 ," 4,140 "," 23,754 "," 27,894 "
 474 ," 3,440 "," 32,548 "," 35,988 "
 475 , 656 ," 6,869 "," 7,525 "
 476 ," 5,402 "," 49,192 "," 54,594 "
 477 , 166 ," 2,727 "," 2,893 "
 478 , 396 ," 3,710 "," 4,106 "
 479 , 545 ," 6,948 "," 7,493 "
 480 , 413 ," 19,772 "," 20,185 "
 481 , 825 ," 4,824 "," 5,650 "
 482 , 99 , 665 , 764 
 483 , 375 ," 9,340 "," 9,715 "
 484 , -   , -   , -   
 485 , -   , -   , -   
 486 ," 8,509 "," 64,764 "," 73,273 "
 487 ," 2,180 "," 48,778 "," 50,959 "
