Tabela 10,,,
Matrículas Escolares por Tipo de Estabelecimento e Zona de Escola – 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de ,Matrículas Escolares por Tipo de Escola,,
Escola,Pública,Particular,Total
,,,
 329 ," 1,018 "," 1,894 "," 2,912 "
 330 ," 3,100 "," 3,483 "," 6,583 "
 331 ," 2,472 ", 632 ," 3,104 "
 332 ," 6,176 "," 1,438 "," 7,613 "
 333 ," 6,965 "," 1,558 "," 8,523 "
 334 ," 4,533 ", 75 ," 4,608 "
 335 ," 3,772 "," 4,138 "," 7,910 "
 336 ," 4,483 ", 501 ," 4,983 "
 337 ," 3,960 "," 5,358 "," 9,318 "
 338 ," 4,048 "," 2,627 "," 6,675 "
 339 ," 2,410 "," 2,447 "," 4,857 "
 340 ," 36,208 "," 9,666 "," 45,873 "
 341 , -   , 874 , 874 
 342 ," 2,955 ", 770 ," 3,726 "
 343 ," 4,173 "," 2,614 "," 6,787 "
 344 , 95 , -   , 95 
 345 ," 6,593 "," 7,393 "," 13,986 "
 346 ," 5,715 ", -   ," 5,715 "
 347 , 304 , -   , 304 
 348 ," 22,442 ", 290 ," 22,732 "
 349 ," 1,254 ", -   ," 1,254 "
 350 , 844 , -   , 844 
 351 ," 13,433 "," 2,345 "," 15,778 "
 352 ," 12,314 ", 259 ," 12,573 "
 353 , 931 , -   , 931 
 354 , - , - , -   
 355 , - , - , -   
 356 ," 12,355 "," 1,164 "," 13,519 "
 357 ," 23,689 ", 870 ," 24,559 "
 358 , - , - , -   
 359 ," 10,817 "," 2,676 "," 13,493 "
 360 , 144 ," 1,802 "," 1,947 "
 361 ," 5,788 ", -   ," 5,788 "
 362 , 400 , -   , 400 
 363 ," 7,327 "," 25,215 "," 32,542 "
 364 ," 8,828 "," 23,021 "," 31,849 "
 365 , 951 , -   , 951 
 366 , 75 , 271 , 346 
 367 ," 6,778 "," 2,933 "," 9,711 "
 368 ," 4,295 "," 3,400 "," 7,695 "
 369 ," 6,733 "," 2,338 "," 9,071 "
370," 14,488 "," 1,662 "," 16,150 "
371," 12,773 "," 3,736 "," 16,510 "
372," 9,475 "," 3,857 "," 13,332 "
373," 5,837 "," 4,729 "," 10,566 "
374," 15,926 "," 2,094 "," 18,020 "
375, - , - , -   
376," 13,031 "," 1,824 "," 14,854 "
377," 10,981 "," 2,339 "," 13,320 "
378," 35,800 "," 1,711 "," 37,512 "
379," 17,021 "," 1,944 "," 18,966 "
380," 7,068 ", 405 ," 7,473 "
381," 15,654 ", 388 ," 16,042 "
382, - , - , -   
383," 14,212 "," 1,771 "," 15,983 "
384," 15,322 ", -   ," 15,322 "
385," 8,613 ", 825 ," 9,438 "
386, - , - , -   
387, 766 , -   , 766 
388," 16,425 ", 949 ," 17,374 "
389, 502 , -   , 502 
390," 10,446 ", 873 ," 11,319 "
391, 356 , 34 , 390 
392, - , - , -   
393, - , - , -   
394," 17,889 "," 1,510 "," 19,400 "
395, - , - , -   
396," 20,397 ", 393 ," 20,790 "
397," 4,048 ", -   ," 4,048 "
398," 15,919 "," 2,657 "," 18,576 "
399," 18,511 "," 2,734 "," 21,245 "
400," 18,184 "," 1,367 "," 19,551 "
401," 18,282 ", 897 ," 19,179 "
402," 14,274 "," 1,000 "," 15,274 "
403," 24,527 ", -   ," 24,527 "
404," 26,591 "," 19,614 "," 46,205 "
405," 7,896 ", -   ," 7,896 "
406," 1,884 ", -   ," 1,884 "
407," 17,687 "," 13,632 "," 31,319 "
408," 9,751 "," 9,387 "," 19,138 "
409," 6,806 "," 14,070 "," 20,876 "
410," 17,435 ", 909 ," 18,344 "
411," 9,732 ", 715 ," 10,447 "
412," 5,430 ", -   ," 5,430 "
413," 1,968 ", -   ," 1,968 "
414," 2,671 ", -   ," 2,671 "
415," 7,110 ", -   ," 7,110 "
416," 4,015 ", -   ," 4,015 "
417, - , - , -   
418," 5,009 ", 510 ," 5,518 "
419, - , - , -   
420," 2,639 ", 61 ," 2,701 "
421, - , - , -   
422," 6,332 ", 226 ," 6,558 "
423, - , - , -   
424," 6,058 "," 9,911 "," 15,969 "
425," 6,175 "," 2,932 "," 9,107 "
426," 13,115 "," 1,780 "," 14,895 "
