Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 199 ," 44,378 ", -   ," 1,804 "," 9,129 "," 14,080 "," 8,202 "," 6,813 "," 15,227 "," 99,634 "
 200 ," 13,551 ", 929 , -   ," 2,667 "," 5,060 "," 4,737 "," 1,993 "," 4,052 "," 32,990 "
 201 ," 27,811 ", -   , 637 ," 8,638 "," 11,275 "," 3,306 "," 5,101 "," 12,362 "," 69,129 "
 202 ," 30,711 "," 3,620 ", -   ," 5,710 "," 9,368 "," 3,970 "," 6,445 "," 15,215 "," 75,039 "
 203 ," 25,304 ", 249 , 247 ," 5,146 "," 4,484 "," 3,972 "," 3,670 "," 9,984 "," 53,056 "
 204 ," 46,036 "," 2,757 ", 535 ," 11,242 "," 9,990 "," 8,640 "," 12,776 "," 23,444 "," 115,420 "
 205 ," 43,898 "," 1,788 ", -   ," 10,506 "," 10,253 "," 6,990 "," 6,831 "," 17,243 "," 97,509 "
 206 ," 19,067 ", 819 , 201 ," 3,017 "," 3,675 "," 3,513 "," 1,423 "," 7,726 "," 39,442 "
 207 ," 28,722 "," 6,348 ", -   ," 8,602 "," 8,720 "," 2,923 "," 1,952 "," 16,179 "," 73,445 "
 208 ," 24,475 ", 321 , -   ," 8,455 "," 3,791 ", 227 ," 1,026 "," 6,858 "," 45,152 "
 209 ," 22,236 "," 2,124 ", -   ," 6,686 "," 1,586 "," 1,356 "," 1,771 "," 5,584 "," 41,342 "
 210 ," 13,773 "," 1,054 ", -   ," 7,427 "," 1,360 "," 2,831 "," 5,311 "," 2,356 "," 34,111 "
 211 ," 28,486 ", 560 , -   ," 11,358 "," 5,234 "," 2,983 "," 3,578 "," 8,166 "," 60,366 "
 212 ," 20,906 "," 1,949 ", 280 ," 8,356 "," 3,211 "," 3,059 "," 1,983 "," 3,652 "," 43,397 "
 213 ," 25,561 ", 854 , 572 ," 7,665 "," 2,485 "," 2,250 "," 1,929 "," 7,088 "," 48,403 "
 214 ," 13,759 "," 1,063 ", -   ," 4,920 "," 2,599 ", 186 ," 1,550 "," 2,091 "," 26,167 "
 215 ," 21,083 ", 286 , 598 ," 8,542 "," 1,728 "," 2,972 ", 143 ," 4,804 "," 40,156 "
 216 ," 14,967 "," 1,209 ", -   ," 7,378 "," 5,147 "," 2,546 "," 2,195 "," 6,366 "," 39,808 "
 217 ," 11,105 ", -   , -   ," 6,142 "," 7,160 "," 1,068 "," 1,733 "," 4,832 "," 32,040 "
 218 ," 29,411 ", -   ," 1,312 "," 12,195 "," 10,732 "," 2,480 "," 2,616 "," 7,165 "," 65,910 "
 219 ," 20,755 "," 1,731 ", 349 ," 6,155 "," 5,240 "," 1,804 "," 4,492 "," 8,513 "," 49,039 "
 220 ," 15,647 "," 1,157 ", 488 ," 4,065 "," 1,879 ", 840 ," 3,517 "," 7,774 "," 35,367 "
 221 ," 21,936 "," 2,030 ", -   ," 6,192 "," 6,834 "," 3,216 "," 5,367 "," 10,075 "," 55,650 "
 222 ," 23,454 "," 1,333 ", -   ," 4,556 "," 3,028 "," 2,626 "," 4,254 "," 8,545 "," 47,798 "
 223 ," 12,404 "," 1,043 ", 130 ," 3,420 "," 2,886 "," 2,209 "," 1,279 "," 5,364 "," 28,734 "
 224 , - , - , - , - , - , - , - , - , -   
 225 ," 21,064 ", -   , 622 ," 5,597 "," 5,375 "," 2,335 "," 4,294 "," 7,736 "," 47,022 "
