 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
 219 ," 1,584 ", 258 , -   ," 1,587 "," 6,517 ", -   , -   , -   ," 9,945 "
 220 ," 4,659 ", 702 , -   , 100 ," 4,207 ", -   , -   , -   ," 9,668 "
 221 ," 11,354 "," 1,317 ", 142 , 818 ," 10,439 ", 349 , -   , -   ," 24,421 "
 222 ," 8,473 ", -   ," 1,144 "," 1,014 "," 6,620 ", -   , 131 , -   ," 17,382 "
 223 ," 5,360 "," 1,268 ", -   , 448 ," 2,585 ", -   , -   , -   ," 9,661 "
 224 ," 1,354 ", -   , -   , -   , -   , -   , -   , -   ," 1,354 "
 225 ," 10,698 ", 506 , -   , -   ," 7,789 ", -   , 293 , -   ," 19,284 "
 226 ," 2,470 "," 2,198 ", 497 ," 1,064 "," 6,629 ", 484 , -   , -   ," 13,342 "
 227 ," 10,741 "," 2,598 ", 549 , -   ," 8,204 ", -   , -   , -   ," 22,092 "
 228 ," 1,329 ", 374 , 329 , -   ," 6,826 ", -   , 414 , -   ," 9,271 "
 229 ," 7,375 "," 2,229 "," 1,056 ", -   ," 12,441 ", -   , 457 , -   ," 23,557 "
 230 ," 6,988 "," 1,027 ", 458 , 310 ," 7,316 ", -   , 522 , -   ," 16,622 "
 231 ," 1,504 "," 1,124 ", -   , -   ," 8,935 ", 192 , -   , -   ," 11,755 "
 232 ," 2,257 ", 452 , 441 , -   ," 7,007 ", -   , -   , 441 ," 10,599 "
 233 ," 3,179 "," 2,112 "," 1,207 ", -   ," 2,851 ", 35 , -   , -   ," 9,384 "
 234 ," 1,833 "," 1,520 ", 762 , 456 ," 11,755 ", -   , -   , -   ," 16,326 "
 235 ," 4,880 "," 1,221 ", 620 , -   ," 10,904 ", -   , 165 , -   ," 17,790 "
 236 ," 7,105 ", 333 , 834 , 366 ," 3,993 ", 224 , 326 , 142 ," 13,323 "
 237 ," 7,089 ", 873 , 561 ," 1,407 "," 2,714 ", 224 , 721 , -   ," 13,589 "
 238 ," 9,131 ", 399 , 72 , 331 ," 2,884 ", 91 , -   , -   ," 12,909 "
 239 ," 11,741 "," 1,630 ", 373 , 580 ," 4,798 ", 115 , -   , 159 ," 19,396 "
 240 ," 10,006 ", 440 , 570 , -   ," 4,152 ", -   , 140 , -   ," 15,309 "
 241 ," 9,447 ", 569 , 75 , 235 ," 1,790 ", 49 , 60 , 32 ," 12,257 "
 242 ," 9,180 ", 129 , -   , 375 ," 5,496 ", 211 ," 1,692 ", 958 ," 18,042 "
 243 ," 15,475 "," 1,319 ", 773 , 316 ," 7,468 "," 1,714 ", 261 , -   ," 27,326 "
