 Tabela 17 ,,,,,
 Viagens Diárias Produzidas por Tipo e Zona de Origem – 2023 ,,,,,
 Região Metropolitana de São Paulo ,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,
,,,,,
, Viagens Produzidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Origem ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
 313 ," 27,654 "," 26,844 "," 54,498 "," 26,016 "," 80,514 "
 314 ," 17,693 "," 7,799 "," 25,492 "," 10,189 "," 35,681 "
 315 ," 47,120 "," 28,978 "," 76,098 "," 41,998 "," 118,096 "
 316 ," 55,846 "," 23,776 "," 79,623 "," 57,029 "," 136,651 "
 317 ," 14,446 "," 22,297 "," 36,743 "," 4,887 "," 41,630 "
 318 ," 3,825 "," 11,845 "," 15,670 ", 630 ," 16,300 "
 319 ," 13,833 "," 24,206 "," 38,039 "," 5,032 "," 43,071 "
 320 ," 10,566 "," 27,564 "," 38,130 "," 2,059 "," 40,189 "
 321 ," 29,272 "," 28,027 "," 57,299 "," 53,571 "," 110,870 "
 322 ," 23,965 "," 44,466 "," 68,431 "," 13,906 "," 82,337 "
 323 ," 25,895 "," 52,940 "," 78,835 "," 7,454 "," 86,289 "
 324 ," 45,271 "," 27,842 "," 73,113 "," 23,533 "," 96,646 "
 325 ," 33,941 "," 19,331 "," 53,272 "," 39,405 "," 92,677 "
