Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 244 ," 17,226 "," 36,558 "," 12,384 "," 1,012 ", -   ," 67,180 "
 245 ," 3,864 "," 12,875 "," 7,568 ", 774 , -   ," 25,081 "
 246 ," 2,694 "," 9,752 "," 9,293 "," 7,697 ", 760 ," 30,196 "
 247 ," 21,536 "," 52,977 "," 20,581 "," 1,319 "," 3,267 "," 99,681 "
 248 , - , - , - , - , - , -   
 249 ," 6,293 "," 15,624 "," 12,326 "," 3,738 "," 1,138 "," 39,120 "
 250 , 188 ," 2,179 "," 7,865 "," 3,309 "," 6,347 "," 19,888 "
 251 ," 2,221 "," 11,057 "," 9,101 "," 1,245 "," 1,408 "," 25,031 "
 252 ," 1,891 "," 5,465 "," 9,262 "," 3,203 "," 1,866 "," 21,686 "
 253 ," 1,042 "," 2,832 "," 1,465 ", 194 , 74 ," 5,606 "
 254 , 768 ," 13,699 "," 9,353 "," 9,015 "," 2,323 "," 35,158 "
 255 ," 3,816 "," 36,379 "," 24,637 ", -   ," 2,720 "," 67,552 "
 256 ," 3,101 "," 8,846 "," 11,376 "," 2,847 "," 1,713 "," 27,883 "
 257 ," 4,936 "," 13,473 "," 21,237 "," 3,133 "," 1,615 "," 44,393 "
 258 ," 15,545 "," 29,411 "," 24,236 ", -   , -   ," 69,192 "
 259 ," 11,148 "," 10,439 "," 11,933 ", 875 , 306 ," 34,701 "
 260 ," 4,086 "," 27,619 "," 11,277 ", 293 , -   ," 43,276 "
 261 ," 13,802 "," 21,662 "," 16,860 "," 1,155 ", -   ," 53,479 "
 262 ," 22,348 "," 43,229 "," 10,529 "," 3,070 ", -   ," 79,176 "
 263 ," 19,409 "," 29,197 "," 10,477 "," 3,627 ", -   ," 62,710 "
 264 ," 4,244 "," 21,811 "," 36,907 "," 1,344 ", -   ," 64,306 "
 265 ," 7,396 "," 21,970 "," 12,695 ", 776 , -   ," 42,838 "
 266 ," 2,390 "," 5,382 "," 10,488 "," 1,354 ", 401 ," 20,014 "
 267 ," 9,694 "," 12,946 "," 6,062 "," 3,689 ", -   ," 32,392 "
