 Tabela 4 ,,,,
 População por Sexo e Zona de Residência – 2023 ,,,,
 Região Metropolitana de São Paulo ,,,,
 Pesquisa Origem e Destino 2023 ,,,,
 Companhia do Metropolitano de São Paulo  ,,,,
,,,,
 Zona de , População por Sexo ,,,
 Residência , Masculino , Feminino , Não respondeu , Total 
,,,,
 407 ," 38,510 "," 43,160 ", -   ," 81,670 "
 408 ," 19,382 "," 20,520 ", -   ," 39,902 "
 409 ," 15,230 "," 20,885 ", -   ," 36,115 "
 410 ," 58,808 "," 64,087 ", -   ," 122,895 "
 411 ," 26,365 "," 32,465 ", -   ," 58,830 "
 412 ," 10,105 "," 12,248 ", -   ," 22,353 "
 413 ," 6,569 "," 7,308 ", -   ," 13,877 "
 414 ," 9,274 "," 10,043 ", -   ," 19,317 "
 415 ," 18,689 "," 21,633 ", -   ," 40,322 "
 416 ," 16,159 "," 10,728 ", -   ," 26,887 "
 417 , - , - , - , -   
 418 ," 14,102 "," 16,123 ", -   ," 30,225 "
 419 , - , - , - , -   
 420 ," 7,337 "," 7,990 ", -   ," 15,327 "
 421 , - , - , - , -   
 422 ," 14,120 "," 17,886 ", -   ," 32,006 "
 423 , - , - , - , -   
 424 ," 21,493 "," 28,824 ", -   ," 50,317 "
 425 ," 21,675 "," 35,141 ", -   ," 56,816 "
 426 ," 19,964 "," 18,418 ", -   ," 38,382 "
 427 ," 3,028 "," 4,767 ", -   ," 7,795 "
 428 ," 7,214 "," 9,272 ", -   ," 16,486 "
 429 ," 29,353 "," 41,759 ", 336 ," 71,448 "
 430 ," 16,196 "," 20,431 ", -   ," 36,627 "
 431 ," 11,499 "," 15,164 ", -   ," 26,663 "
 432 ," 10,475 "," 14,789 ", -   ," 25,264 "
 433 ," 16,023 "," 14,820 ", -   ," 30,843 "
 434 ," 24,101 "," 26,869 ", -   ," 50,970 "
 435 ," 25,763 "," 28,708 ", -   ," 54,471 "
 436 ," 29,468 "," 32,175 ", 316 ," 61,959 "
 437 ," 22,751 "," 22,290 ", 369 ," 45,410 "
 438 ," 64,934 "," 54,786 ", -   ," 119,720 "
 439 ," 55,819 "," 60,694 ", 638 ," 117,151 "
 440 ," 54,934 "," 70,048 ", -   ," 124,982 "
 441 ," 1,238 "," 1,283 ", -   ," 2,521 "
 442 ," 20,447 "," 21,370 ", -   ," 41,817 "
 443 ," 56,649 "," 57,489 ", 456 ," 114,594 "
 444 ," 68,196 "," 83,587 "," 1,034 "," 152,817 "
 445 ," 51,394 "," 36,652 ", -   ," 88,046 "
 446 ," 15,210 "," 12,926 ", -   ," 28,136 "
 447 ," 38,893 "," 40,112 ", -   ," 79,005 "
 448 ," 13,217 "," 11,380 ", -   ," 24,597 "
 449 ," 6,693 "," 7,397 ", -   ," 14,090 "
 450 ," 6,736 "," 5,496 ", -   ," 12,232 "
 451 ," 17,554 "," 15,122 ", -   ," 32,676 "
 452 ," 44,927 "," 53,087 ", -   ," 98,014 "
 453 ," 24,024 "," 30,727 ", -   ," 54,751 "
 454 ," 18,746 "," 23,044 ", -   ," 41,790 "
 455 ," 28,091 "," 26,764 ", -   ," 54,855 "
 456 ," 42,989 "," 46,847 ", -   ," 89,836 "
