Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 433 ," 2,896 "," 17,899 ", -   ," 20,796 "
 434 ," 3,249 "," 21,658 ", -   ," 24,908 "
 435 ," 4,071 "," 13,496 ", -   ," 17,567 "
 436 ," 8,531 "," 16,950 ", -   ," 25,481 "
 437 ," 3,163 "," 16,217 ", -   ," 19,380 "
 438 ," 14,210 "," 35,744 ", -   ," 49,954 "
 439 , 748 ," 38,197 ", -   ," 38,945 "
 440 ," 5,539 "," 17,572 ", -   ," 23,111 "
 441 , 224 ," 1,771 ", -   ," 1,995 "
 442 ," 22,073 "," 19,006 ", -   ," 41,079 "
 443 ," 7,712 "," 53,324 ", -   ," 61,036 "
 444 ," 4,472 "," 26,611 ", -   ," 31,083 "
 445 ," 1,703 "," 10,507 ", -   ," 12,211 "
 446 , 220 ," 3,435 ", -   ," 3,656 "
 447 ," 11,468 "," 33,899 ", -   ," 45,367 "
 448 ," 3,086 "," 2,679 ", -   ," 5,765 "
 449 , 944 ," 2,906 ", 63 ," 3,914 "
 450 , 133 ," 2,513 ", 114 ," 2,760 "
 451 ," 2,998 "," 9,398 ", -   ," 12,396 "
 452 ," 26,211 "," 34,074 ", -   ," 60,285 "
 453 ," 13,916 "," 22,150 ", -   ," 36,065 "
 454 ," 3,575 "," 28,184 ", -   ," 31,759 "
 455 ," 5,216 "," 39,723 ", -   ," 44,939 "
 456 ," 5,615 "," 58,917 ", -   ," 64,532 "
 457 ," 10,431 "," 25,677 ", -   ," 36,108 "
 458 ," 16,902 "," 29,453 ", -   ," 46,355 "
 459 ," 2,704 "," 9,502 ", -   ," 12,206 "
 460 ," 2,027 "," 2,246 ", -   ," 4,273 "
 461 , 53 , 325 , -   , 378 
