Tabela 19,,,,,,,,,,
Viagens Diárias Produzidas a Pé por Razão de Escolha do Modo e Zona de Origem – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,Viagens a Pé por Razão da Escolha do Modo,,,,,,,,,
Zona de Origem,Pequena Distância,Condução Cara,Ponto/ Estação Distante,Condução Demora para Passar,Viagem Demorada,Condução Lotada,Atividade Física,Medo de Contágio,Outros Motivos,Total
,,,,,,,,,,
 265 ," 27,689 ", -   , 714 , -   , -   , -   , -   , -   , -   ," 28,402 "
 266 ," 8,561 ", -   , -   , -   , -   , -   , 186 , -   , -   ," 8,747 "
 267 ," 16,958 ", -   , -   ," 1,534 ", 219 , -   , -   , -   , -   ," 18,711 "
 268 ," 3,066 ", 33 , -   , -   , -   , -   , 71 , -   , 110 ," 3,281 "
 269 ," 13,809 ", -   , 386 , -   , -   , -   , 147 , -   , 67 ," 14,408 "
 270 ," 4,017 ", -   , -   , -   , -   , -   , 654 , -   , -   ," 4,671 "
 271 , 542 , -   , -   , -   , -   , -   , -   , -   , -   , 542 
 272 ," 4,342 ", -   , 272 , -   , -   , -   , 251 , -   , 202 ," 5,067 "
 273 ," 21,733 ", 160 , -   , -   , -   , -   ," 1,564 ", -   , 230 ," 23,686 "
 274 ," 13,612 ", -   , 272 , -   , -   , -   , 714 , -   , 782 ," 15,380 "
 275 ," 11,418 ", -   , -   , 405 , -   , -   , -   , -   ," 2,368 "," 14,191 "
