Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
112," 3,267 "," 1,453 "," 12,084 "," 8,618 "," 1,286 "," 1,390 ", 568 ," 27,809 ", -   , -   , -   ," 56,475 "
113," 4,387 "," 5,292 "," 13,090 "," 11,481 "," 1,313 ", -   , 55 ," 22,044 ", -   , 610 , 166 ," 58,438 "
114, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
115," 2,644 "," 3,459 "," 7,116 "," 15,600 "," 1,347 "," 1,645 ", 934 ," 46,194 ", -   ," 1,043 ", -   ," 79,981 "
116," 2,119 "," 4,562 "," 16,720 "," 63,796 "," 6,128 "," 1,008 ", 861 ," 144,266 ", -   , 748 , -   ," 240,207 "
117," 1,823 "," 1,685 "," 9,282 "," 13,748 "," 1,346 "," 2,648 "," 2,960 "," 49,442 ", -   ," 2,267 ", -   ," 85,200 "
118, 988 , 686 ," 2,397 "," 4,067 ", 96 , 87 , 109 ," 12,707 ", -   , 751 , 16 ," 21,903 "
119," 1,827 "," 3,409 "," 11,218 "," 34,620 "," 1,778 ", 160 ," 1,034 "," 67,044 ", -   , 460 , -   ," 121,548 "
120, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
121," 2,274 "," 1,718 "," 2,473 "," 29,377 ", -   , -   , -   ," 68,631 ", -   , -   , -   ," 104,473 "
122, -   ," 1,728 ", 860 ," 14,476 ", -   , -   , -   ," 39,743 ", -   , 445 , -   ," 57,253 "
123, -   ," 1,853 "," 1,454 "," 11,962 ", 459 , 283 ," 3,660 "," 53,220 ", -   , 883 , -   ," 73,773 "
124, 960 ," 2,179 "," 3,446 "," 31,529 "," 1,332 "," 1,278 ", 631 ," 46,152 ", -   ," 1,029 ", -   ," 88,536 "
125," 1,583 ", 376 ," 8,173 "," 17,535 ", 227 , 230 ," 2,178 "," 44,278 ", -   , 537 , -   ," 75,117 "
126, 526 ," 4,052 "," 9,610 "," 13,273 ", 746 ," 1,050 ", 850 ," 29,306 ", -   , 716 , -   ," 60,129 "
127," 2,657 "," 4,504 "," 14,694 "," 32,853 "," 1,690 "," 1,163 "," 1,457 "," 50,250 ", -   ," 2,226 ", 123 ," 111,616 "
128," 1,745 "," 3,453 "," 5,529 "," 1,895 ", 103 ," 5,305 ", 138 ," 2,082 ", -   ," 3,364 ", 108 ," 23,723 "
129," 1,846 "," 3,061 "," 13,517 "," 2,356 "," 1,700 "," 5,673 "," 1,062 "," 2,983 ", 427 ," 3,722 ", 240 ," 36,587 "
130, 33 , 154 ," 3,710 "," 1,157 ", -   , -   , 14 ," 5,722 ", -   ," 2,062 ", 109 ," 12,961 "
