Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
182," 21,059 "," 28,656 "," 49,715 "," 21,763 "," 71,478 "
183," 25,697 "," 16,461 "," 42,158 "," 14,880 "," 57,038 "
184," 13,506 "," 7,916 "," 21,422 "," 8,308 "," 29,730 "
185," 11,058 "," 11,235 "," 22,292 "," 19,998 "," 42,291 "
186," 4,161 "," 6,729 "," 10,890 "," 5,928 "," 16,818 "
187," 21,985 "," 14,845 "," 36,831 "," 38,483 "," 75,314 "
188," 27,466 "," 24,123 "," 51,588 "," 21,916 "," 73,505 "
189," 35,152 "," 11,178 "," 46,329 "," 28,773 "," 75,102 "
190," 30,938 "," 22,599 "," 53,537 "," 11,829 "," 65,366 "
191," 19,060 "," 15,598 "," 34,657 ", 350 ," 35,008 "
192," 16,992 "," 13,968 "," 30,960 "," 19,816 "," 50,777 "
193," 13,808 "," 7,366 "," 21,173 "," 3,295 "," 24,468 "
194," 14,196 "," 6,226 "," 20,422 "," 11,044 "," 31,466 "
195," 20,162 "," 16,770 "," 36,931 "," 19,002 "," 55,934 "
196," 12,240 "," 17,830 "," 30,071 "," 25,932 "," 56,003 "
197," 21,085 "," 13,330 "," 34,415 "," 9,699 "," 44,114 "
198," 40,034 "," 24,610 "," 64,644 "," 22,875 "," 87,519 "
199," 41,254 "," 25,566 "," 66,820 "," 70,204 "," 137,025 "
200," 22,007 "," 4,969 "," 26,976 "," 21,233 "," 48,208 "
201," 31,599 "," 15,108 "," 46,707 "," 59,659 "," 106,367 "
202," 38,442 "," 43,146 "," 81,587 "," 45,038 "," 126,625 "
203," 27,468 "," 8,274 "," 35,742 "," 44,059 "," 79,801 "
204," 48,075 "," 34,991 "," 83,066 "," 57,722 "," 140,788 "
205," 43,795 "," 19,017 "," 62,812 "," 67,169 "," 129,981 "
206," 27,995 "," 20,661 "," 48,655 "," 24,245 "," 72,900 "
207," 35,822 "," 31,028 "," 66,850 "," 79,288 "," 146,138 "
208," 36,309 "," 30,243 "," 66,552 "," 14,226 "," 80,778 "
209," 20,804 "," 35,348 "," 56,152 "," 12,836 "," 68,988 "
210," 29,609 "," 27,884 "," 57,493 "," 5,817 "," 63,310 "
211," 26,176 "," 34,750 "," 60,926 "," 10,377 "," 71,303 "
212," 23,561 "," 18,801 "," 42,362 "," 13,230 "," 55,592 "
213," 29,985 "," 30,604 "," 60,590 "," 14,383 "," 74,972 "
214," 16,016 "," 17,647 "," 33,663 "," 4,649 "," 38,312 "
215," 21,956 "," 23,624 "," 45,580 "," 14,103 "," 59,683 "
216," 16,787 "," 24,582 "," 41,369 "," 20,545 "," 61,915 "
217," 14,953 "," 9,860 "," 24,813 "," 8,540 "," 33,353 "
218," 37,739 "," 25,341 "," 63,080 "," 45,272 "," 108,352 "
219," 17,352 "," 30,289 "," 47,641 "," 21,561 "," 69,201 "
220," 15,788 "," 16,871 "," 32,659 "," 17,238 "," 49,898 "
221," 25,800 "," 26,061 "," 51,860 "," 21,447 "," 73,307 "
222," 25,355 "," 28,193 "," 53,548 "," 18,091 "," 71,639 "
223," 20,221 "," 11,415 "," 31,636 "," 15,068 "," 46,703 "
224," 1,926 "," 4,420 "," 6,345 "," 1,100 "," 7,445 "
225," 26,936 "," 15,956 "," 42,892 "," 17,991 "," 60,883 "
226," 54,937 "," 31,359 "," 86,297 "," 27,475 "," 113,772 "
227," 43,247 "," 17,439 "," 60,686 "," 36,806 "," 97,492 "
228," 26,408 "," 6,080 "," 32,488 "," 31,775 "," 64,263 "
229," 69,372 "," 39,041 "," 108,413 "," 101,420 "," 209,833 "
230," 33,711 "," 16,302 "," 50,013 "," 45,768 "," 95,781 "
231," 25,976 "," 13,963 "," 39,939 "," 8,839 "," 48,778 "
232," 21,526 "," 23,106 "," 44,632 "," 23,811 "," 68,443 "
233," 33,625 "," 22,318 "," 55,943 "," 26,033 "," 81,975 "
234," 24,005 "," 19,402 "," 43,407 "," 38,598 "," 82,004 "
235," 27,070 "," 20,053 "," 47,122 "," 39,232 "," 86,354 "
236," 13,597 "," 13,816 "," 27,413 "," 6,555 "," 33,969 "
237," 13,190 "," 19,173 "," 32,363 "," 8,383 "," 40,746 "
238," 12,005 "," 14,574 "," 26,578 "," 5,784 "," 32,363 "
239," 27,916 "," 19,001 "," 46,918 "," 13,628 "," 60,546 "
240," 14,414 "," 21,366 "," 35,780 "," 5,564 "," 41,343 "
241," 11,472 "," 15,994 "," 27,466 "," 4,446 "," 31,912 "
242," 13,133 "," 16,900 "," 30,034 "," 17,836 "," 47,870 "
243," 28,499 "," 38,121 "," 66,620 "," 33,376 "," 99,996 "
244," 31,095 "," 19,756 "," 50,851 "," 38,742 "," 89,593 "
245," 4,501 "," 9,791 "," 14,292 "," 11,632 "," 25,924 "
246," 16,965 "," 10,385 "," 27,350 "," 15,867 "," 43,218 "
247," 42,316 "," 25,636 "," 67,951 "," 37,625 "," 105,577 "
248," 1,120 ", 375 ," 1,495 ", -   ," 1,495 "
249," 19,343 "," 13,590 "," 32,933 "," 20,405 "," 53,338 "
250," 9,974 "," 28,373 "," 38,346 "," 7,213 "," 45,559 "
251," 7,794 "," 16,027 "," 23,822 "," 7,857 "," 31,679 "
252," 11,327 "," 17,439 "," 28,765 "," 5,820 "," 34,586 "
253," 3,816 "," 4,557 "," 8,372 "," 4,704 "," 13,076 "
254," 47,945 "," 39,406 "," 87,351 "," 15,712 "," 103,063 "
255," 21,065 "," 39,005 "," 60,070 "," 31,345 "," 91,414 "
256," 11,794 "," 20,212 "," 32,005 "," 16,375 "," 48,380 "
257," 22,959 "," 15,371 "," 38,330 "," 13,258 "," 51,588 "
258," 24,588 "," 23,884 "," 48,472 "," 33,603 "," 82,076 "
259," 14,345 "," 8,893 "," 23,238 "," 12,275 "," 35,513 "
260," 28,801 "," 14,943 "," 43,744 "," 20,427 "," 64,171 "
261," 39,867 "," 21,285 "," 61,152 "," 23,462 "," 84,614 "
262," 32,342 "," 11,867 "," 44,209 "," 29,485 "," 73,694 "
263," 27,496 "," 22,566 "," 50,062 "," 44,509 "," 94,571 "
264," 40,646 "," 44,461 "," 85,107 "," 30,368 "," 115,475 "
265," 27,931 "," 24,115 "," 52,046 "," 29,272 "," 81,318 "
266," 8,778 "," 9,304 "," 18,082 "," 9,011 "," 27,093 "
267," 13,076 "," 22,567 "," 35,643 "," 22,199 "," 57,842 "
268," 10,061 "," 15,112 "," 25,173 "," 3,418 "," 28,591 "
269," 12,695 "," 30,345 "," 43,040 "," 14,835 "," 57,874 "
270," 5,573 "," 14,216 "," 19,789 "," 4,545 "," 24,334 "
271," 7,237 "," 7,486 "," 14,723 ", 542 ," 15,265 "
272," 12,840 "," 22,178 "," 35,018 "," 5,479 "," 40,497 "
273," 33,270 "," 31,827 "," 65,097 "," 23,743 "," 88,840 "
274," 48,065 "," 38,662 "," 86,727 "," 11,961 "," 98,688 "
275," 32,921 "," 28,605 "," 61,525 "," 14,790 "," 76,315 "
276," 45,289 "," 62,183 "," 107,473 "," 33,961 "," 141,434 "
277," 17,146 "," 44,710 "," 61,855 "," 8,687 "," 70,542 "
278," 75,039 "," 31,888 "," 106,927 "," 72,353 "," 179,280 "
279," 39,122 "," 15,858 "," 54,981 "," 22,685 "," 77,666 "
280," 23,886 "," 27,467 "," 51,353 "," 6,774 "," 58,127 "
281," 21,067 "," 28,809 "," 49,876 "," 10,394 "," 60,270 "
282," 18,716 "," 24,367 "," 43,083 "," 14,266 "," 57,349 "
283," 4,784 "," 12,382 "," 17,166 "," 5,531 "," 22,697 "
284," 34,802 "," 17,098 "," 51,900 "," 16,611 "," 68,510 "
285," 41,728 "," 28,108 "," 69,836 "," 27,499 "," 97,335 "
286," 23,929 "," 14,586 "," 38,515 "," 3,304 "," 41,819 "
287," 22,557 "," 24,941 "," 47,498 "," 9,923 "," 57,421 "
288," 17,091 "," 23,566 "," 40,656 "," 13,175 "," 53,832 "
289," 34,668 "," 33,686 "," 68,354 "," 17,401 "," 85,755 "
290," 40,459 "," 17,117 "," 57,576 "," 10,557 "," 68,133 "
291," 44,176 "," 24,702 "," 68,878 "," 17,879 "," 86,757 "
292," 33,212 "," 17,111 "," 50,323 "," 36,320 "," 86,643 "
293," 33,789 "," 18,293 "," 52,083 "," 22,607 "," 74,690 "
294," 39,092 "," 17,058 "," 56,150 "," 49,283 "," 105,433 "
295," 60,750 "," 22,630 "," 83,381 "," 56,285 "," 139,666 "
