Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 279 ," 119,079,717 "," 4,251 "," 1,591 "," 3,820 "
 280 ," 141,197,455 "," 14,303 "," 5,524 "," 7,130 "
 281 ," 175,785,489 "," 11,367 "," 4,434 "," 8,796 "
 282 ," 93,400,783 "," 6,870 "," 2,578 "," 6,648 "
 283 ," 75,175,052 "," 11,288 "," 4,330 "," 10,800 "
 284 ," 74,250,479 "," 3,885 "," 1,416 "," 3,500 "
 285 ," 167,869,696 "," 4,148 "," 1,457 "," 4,000 "
 286 ," 27,749,832 "," 5,984 "," 2,411 "," 5,388 "
 287 ," 77,946,028 "," 7,579 "," 2,836 "," 7,130 "
 288 ," 51,997,321 "," 7,828 "," 2,847 "," 4,684 "
 289 ," 90,591,275 "," 5,629 "," 2,020 "," 4,684 "
 290 ," 101,852,139 "," 5,501 "," 1,926 "," 5,175 "
 291 ," 127,459,635 "," 4,890 "," 1,795 "," 4,368 "
 292 ," 111,641,448 "," 4,801 "," 1,715 "," 3,570 "
 293 ," 112,774,362 "," 4,096 "," 1,466 "," 3,540 "
 294 ," 140,675,403 "," 3,900 "," 1,382 "," 3,540 "
 295 ," 178,687,588 "," 3,982 "," 1,382 "," 3,540 "
 296 ," 23,608,627 "," 3,166 "," 1,106 "," 2,600 "
 297 ," 13,125,805 "," 6,186 "," 2,077 "," 5,000 "
 298 ," 227,258,536 "," 4,485 "," 1,503 "," 4,006 "
 299 ," 20,832,870 "," 4,019 "," 1,776 "," 3,720 "
 300 ,,,,
 301 ," 183,401,514 "," 10,344 "," 4,400 "," 8,796 "
 302 ," 84,195,233 "," 17,975 "," 6,709 "," 14,357 "
 303 ," 92,372,391 "," 11,861 "," 4,860 "," 9,433 "
 304 ," 65,683,004 "," 11,297 "," 4,617 "," 9,150 "
 305 ," 178,434,094 "," 6,173 "," 2,431 "," 3,550 "
 306 ," 186,495,565 "," 4,477 "," 1,641 "," 3,950 "
 307 ," 100,343,537 "," 3,524 "," 1,274 "," 3,078 "
 308 ," 143,669,473 "," 3,503 "," 1,259 "," 3,301 "
 309 ," 49,556,295 "," 3,227 "," 1,254 "," 2,676 "
 310 ," 91,762,796 "," 4,255 "," 1,508 "," 3,540 "
 311 ," 29,494,689 "," 3,179 "," 1,135 "," 2,710 "
 312 ," 105,456,317 "," 3,637 "," 1,341 "," 3,300 "
 313 ," 69,704,750 "," 4,651 "," 1,746 "," 3,935 "
 314 ," 32,880,443 "," 4,124 "," 1,563 "," 3,899 "
 315 ," 133,842,097 "," 3,793 "," 1,389 "," 3,301 "
 316 ," 164,663,995 "," 3,807 "," 1,370 "," 3,520 "
 317 ," 78,946,975 "," 13,091 "," 6,135 "," 10,851 "
 318 ," 61,536,550 "," 54,783 "," 23,265 "," 31,008 "
 319 ," 97,026,764 "," 11,436 "," 4,606 "," 7,388 "
 320 ," 92,326,067 "," 26,607 "," 11,265 "," 21,925 "
 321 ," 182,076,007 "," 6,651 "," 2,449 "," 3,255 "
 322 ," 251,320,388 "," 15,076 "," 6,289 "," 10,925 "
 323 ," 430,254,543 "," 18,006 "," 7,350 "," 15,398 "
 324 ," 189,883,237 "," 7,162 "," 2,723 "," 5,000 "
 325 ," 114,183,828 "," 4,285 "," 1,585 "," 4,036 "
 326 ," 72,987,224 "," 5,139 "," 1,861 "," 4,072 "
 327 ," 116,508,300 "," 5,107 "," 1,909 "," 3,797 "
 328 ," 219,010,107 "," 22,154 "," 8,436 "," 15,000 "
 329 ," 90,117,604 "," 9,870 "," 3,947 "," 6,750 "
 330 ," 151,031,176 "," 12,103 "," 4,711 "," 10,851 "
 331 ," 270,744,789 "," 15,775 "," 5,889 "," 4,792 "
 332 ," 108,281,055 "," 6,236 "," 2,265 "," 4,368 "
 333 ," 78,217,950 "," 4,915 "," 1,740 "," 3,899 "
 334 ," 57,574,482 "," 5,475 "," 2,063 "," 4,400 "
 335 ," 113,714,643 "," 7,083 "," 2,682 "," 5,890 "
 336 ," 126,689,224 "," 8,429 "," 3,052 "," 7,000 "
 337 ," 230,332,925 "," 12,266 "," 4,517 "," 8,398 "
 338 ," 72,400,552 "," 8,110 "," 3,286 "," 5,000 "
 339 ," 78,218,810 "," 6,175 "," 2,252 "," 4,684 "
 340 ,,,,
 341 ," 51,331,085 "," 15,986 "," 6,931 "," 8,796 "
 342 ," 41,316,979 "," 10,543 "," 4,394 "," 7,130 "
 343 ," 156,456,007 "," 9,831 "," 4,323 "," 8,350 "
 344 ," 33,378,043 "," 16,592 "," 6,303 "," 10,535 "
 345 ," 247,503,633 "," 13,239 "," 4,938 "," 8,201 "
 346 ," 66,281,153 "," 4,491 "," 1,590 "," 3,600 "
 347 ,,,,
 348 ," 137,711,694 "," 4,532 "," 1,601 "," 3,797 "
 349 ," 23,962,742 "," 7,063 "," 2,473 "," 4,072 "
 350 ,,,,
 351 ," 111,771,082 "," 4,208 "," 1,535 "," 3,797 "
 352 ," 138,923,425 "," 5,063 "," 1,847 "," 5,000 "
 353 ,,,,
 354 ,,,,
 355 ,,,,
 356 ," 64,120,159 "," 3,247 "," 1,162 "," 2,640 "
 357 ," 144,474,141 "," 3,751 "," 1,347 "," 3,301 "
 358 ," 6,688,406 "," 2,970 "," 1,022 "," 2,713 "
 359 ," 121,101,662 "," 8,808 "," 3,148 "," 4,684 "
 360 ," 155,298,119 "," 22,011 "," 7,904 "," 20,374 "
 361 ," 35,916,913 "," 4,640 "," 1,617 "," 4,220 "
 362 ," 23,783,381 "," 4,286 "," 1,506 "," 3,540 "
 363 ," 61,220,121 "," 8,742 "," 3,408 "," 7,130 "
 364 ," 98,013,998 "," 6,439 "," 2,500 "," 5,012 "
 365 ," 11,562,653 "," 4,079 "," 1,328 "," 3,512 "
 366 ," 12,727,073 "," 6,307 "," 1,375 "," 5,696 "
 367 ," 78,805,603 "," 4,956 "," 1,866 "," 4,200 "
 368 ," 77,714,778 "," 5,694 "," 2,222 "," 5,388 "
 369 ," 86,132,845 "," 5,434 "," 2,012 "," 4,950 "
 370 ," 133,531,208 "," 6,657 "," 2,433 "," 5,036 "
 371 ," 189,182,261 "," 5,217 "," 1,937 "," 4,592 "
 372 ," 134,332,316 "," 5,529 "," 1,979 "," 4,072 "
 373 ," 102,883,265 "," 5,139 "," 1,892 "," 4,368 "
 374 ," 88,573,357 "," 4,151 "," 1,437 "," 3,797 "
 375 ,,,,
 376 ," 88,661,058 "," 3,598 "," 1,223 "," 3,301 "
 377 ," 74,718,179 "," 4,503 "," 1,568 "," 4,100 "
 378 ," 220,318,763 "," 3,270 "," 1,114 "," 3,078 "
 379 ," 138,266,483 "," 3,741 "," 1,311 "," 2,810 "
 380 ," 115,829,254 "," 5,852 "," 2,034 "," 3,935 "
 381 ," 148,165,072 "," 4,267 "," 1,421 "," 3,540 "
 382 ,,,,
 383 ," 159,194,725 "," 4,707 "," 1,614 "," 4,072 "
 384 ," 97,551,705 "," 3,632 "," 1,194 "," 3,301 "
 385 ," 46,095,952 "," 4,636 "," 1,558 "," 3,935 "
 386 ,,,,
 387 ," 5,298,864 "," 3,807 "," 1,261 "," 3,301 "
