Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
205,"5,931","9,839","16,750","2,185","10,678","9,986","5,469",810,"1,636","1,146",0,0,"67,169",0,"131,600"
206,"7,100","4,918","11,158","1,200","4,282","10,254","3,500",405,"4,356","3,483",179,907,"23,618",0,"75,360"
207,"9,497","6,436","14,140",987,"5,796","19,954","6,339",0,"1,088","4,636",199,"6,459","72,549",369,"148,449"
208,"10,982","3,617","17,219",207,"2,766","20,991","5,679",0,"1,187","3,180",255,426,"14,504",0,"81,014"
209,"4,230",0,"13,162",0,"3,983","24,604","7,660",0,907,560,0,426,"12,219","1,226","68,975"
210,"3,815","3,024","19,515",0,"4,345","15,781","4,323",614,"2,433","2,941",205,0,"5,499",0,"62,494"
211,"3,733",0,"18,102",0,"4,675","21,445","10,254",0,198,"1,072",0,0,"10,572",167,"70,218"
212,"2,992",437,"15,270",0,"5,565","9,751","2,181",0,"3,318","2,612",255,0,"12,741",305,"55,428"
213,"5,907",210,"14,902",0,"8,534","16,880","8,220",0,"2,014","2,430",616,0,"15,574",0,"75,286"
214,"4,376",244,"8,802",0,"2,523","11,606","4,471",0,861,947,0,0,"4,649",0,"38,479"
215,"7,774",0,"11,654",0,"3,387","15,931","4,348",0,171,"1,614",0,0,"14,224",813,"59,915"
216,"9,987",0,"4,784",0,"1,955","11,292","7,847",0,"2,316","1,701",0,669,"20,301",0,"60,851"
217,"5,810",0,"3,715",0,"5,429","4,511","3,412",0,"1,565",372,0,0,"8,540",0,"33,353"
218,"12,445",0,"20,862",0,"3,795","16,484","5,619",0,"3,826",666,425,"4,164","40,051",0,"108,335"
219,"6,287",0,"6,876",0,"4,720","19,476","8,322",0,371,0,0,0,"21,561","1,616","69,229"
220,"5,385",431,"10,435",0,502,"8,593","5,849",0,0,968,541,0,"17,238",0,"49,942"
221,"3,541",216,"14,122",0,"6,103","17,493","8,356",0,"1,082","1,308",0,"2,769","18,228",0,"73,218"
222,"4,211",902,"14,235",0,"6,667","19,837","5,931",0,767,"2,593",0,"2,502","14,278",160,"72,083"
223,"3,224",820,"11,373",0,"4,228","5,405","2,496",155,"3,655",882,389,0,"13,850",0,"46,477"
224,0,0,871,0,"1,055","2,264",747,0,"1,408",0,0,739,361,0,"7,445"
225,"4,577","1,431","15,780",285,"4,196","8,561","5,117",0,0,"2,278",0,0,"18,282",0,"60,506"
226,"12,288","6,523","23,995",0,"11,598","16,081","10,190",0,"3,306","1,595",0,0,"27,979",0,"113,556"
