 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 198 ,"7,093",818,436,320,"1,060","1,816",137,162,0,"11,842"
 199 ,"28,787","1,598",0,396,728,"14,086",0,906,164,"46,664"
 200 ,"9,709",882,161,0,330,"3,265",0,0,0,"14,348"
 201 ,"19,420",366,"2,701",0,0,"6,124",0,0,0,"28,611"
 202 ,"18,259","1,699",745,637,"3,289","9,876",550,0,0,"35,055"
 203 ,"13,862","1,251",628,0,"1,727","7,516",0,922,0,"25,905"
 204 ,"23,540","4,822","2,048",525,"4,061","12,727",412,"1,070",535,"49,740"
 205 ,"26,874",619,"1,100",501,475,"13,664",0,"1,663","1,067","45,963"
 206 ,"9,712","3,168",327,489,"2,807","3,503",82,0,0,"20,087"
 207 ,"22,508","2,232","1,112",0,0,"8,874",0,344,0,"35,070"
 208 ,"9,519",500,"1,627","1,349","4,830","5,544",809,616,0,"24,796"
 209 ,"12,108","1,038","1,988",612,666,"6,661",724,563,0,"24,360"
 210 ,"6,526","1,229",542,598,"2,228","3,361",0,344,0,"14,827"
 211 ,"16,024",0,925,"1,750","2,517","7,191",638,0,0,"29,046"
 212 ,"9,659",475,0,"1,037","3,851","4,798","1,317",642,726,"22,505"
 213 ,"13,750","1,650",909,"1,416","1,898","7,363",0,0,0,"26,986"
 214 ,"6,949",481,0,508,"1,939","4,944",0,0,0,"14,822"
 215 ,"11,741",384,"2,158",480,"4,313","2,315",0,0,143,"21,534"
 216 ,"7,241","1,229",93,0,"2,036","4,249","1,163",0,0,"16,011"
 217 ,"7,518",0,432,241,321,"2,304",0,89,304,"11,208"
 218 ,"22,853","3,747",0,0,"1,294","2,074",753,0,0,"30,723"
 219 ,"11,650","1,842",658,"1,030","3,002","4,209",271,0,0,"22,660"
 220 ,"9,029",93,0,100,"4,367","3,097",717,0,0,"17,404"
 221 ,"12,184",804,0,818,"1,797","7,979",0,384,0,"23,966"
 222 ,"11,466","2,708","1,459","1,014","2,936","4,593",0,0,0,"24,176"
 223 ,"8,139","1,810",529,448,624,"2,027",0,0,0,"13,576"
 224 ,,,,,,,,,,
 225 ,"12,828",397,298,0,"3,546","4,324",0,293,0,"21,685"
